timestamp,accX,accY,accZ,Subject_ID,Age,Height_cm,Weight_kg
0,-0.45825,-0.07251,-0.87256,1,32,163,97
20,-0.45605,-0.1787099999999999,-0.86035,1,32,163,97
40,-0.45435,-0.2229,-0.84277,1,32,163,97
60,-0.52441,-0.088135,-0.81592,1,32,163,97
80,-0.45361,-0.081787,-0.8696299999999999,1,32,163,97
100,-0.43872,-0.22607,-0.8523,1,32,163,97
120,-0.45166,-0.082275,-0.8737799999999999,1,32,163,97
140,-0.7460899999999999,-0.03125,-0.6191399999999999,1,32,163,97
160,-0.7651399999999999,0.16065,-0.57202,1,32,163,97
180,-0.5127,-0.1057099999999999,-0.84326,1,32,163,97
200,-0.65405,0.177,-0.71265,1,32,163,97
220,-0.5351600000000001,0.4890100000000001,-0.62622,1,32,163,97
240,-0.44385,-0.080078,-0.87036,1,32,163,97
260,-0.52881,0.14966,-0.8085899999999999,1,32,163,97
280,-0.54468,-0.125,-0.80225,1,32,163,97
300,-0.45947,-0.18237,-0.8466799999999999,1,32,163,97
320,-0.47681,-0.093994,-0.8449700000000001,1,32,163,97
340,-0.47876,-0.096436,-0.8469200000000001,1,32,163,97
360,-0.52515,-0.12744,-0.8200700000000001,1,32,163,97
380,-0.4462899999999999,-0.075684,-0.875,1,32,163,97
400,-0.45703,-0.22705,-0.84888,1,32,163,97
420,-0.50293,0.46655,-0.6765100000000001,1,32,163,97
440,-0.67188,0.094971,-0.70727,1,32,163,97
460,-0.67285,0.2063,-0.62329,1,32,163,97
480,-0.7048300000000001,0.088379,-0.54443,1,32,163,97
500,-0.45166,-0.22607,-0.8557100000000001,1,32,163,97
520,-0.4572699999999999,-0.21509,-0.8513200000000001,1,32,163,97
540,-0.5192899999999999,-0.11084,-0.8261700000000001,1,32,163,97
560,-0.45874,-0.22583,-0.83935,1,32,163,97
580,-0.52368,-0.10645,-0.81885,1,32,163,97
600,-0.46118,0.5227,-0.66992,1,32,163,97
620,-0.54199,0.02124,-0.81201,1,32,163,97
640,-0.45825,-0.2304699999999999,-0.8535200000000001,1,32,163,97
660,-0.6687,0.36279,-0.5898399999999999,1,32,163,97
680,-0.62329,0.013184,-0.75293,1,32,163,97
700,-0.5398,0.36621,-0.6875,1,32,163,97
720,-0.56152,0.50366,-0.61987,1,32,163,97
740,-0.44995,-0.084473,-0.8757299999999999,1,32,163,97
760,-0.56372,0.038818,-0.78394,1,32,163,97
780,-0.65772,0.16895,-0.70727,1,32,163,97
800,-0.51685,-0.11108,-0.81274,1,32,163,97
820,-0.45386,-0.22534,-0.8537600000000001,1,32,163,97
840,-0.4585,-0.22266,-0.8449700000000001,1,32,163,97
860,-0.4545899999999999,-0.22632,-0.85449,1,32,163,97
880,-0.44946,-0.078613,-0.875,1,32,163,97
900,-0.45093,-0.2273,-0.8449700000000001,1,32,163,97
920,-0.45313,-0.22119,-0.84839,1,32,163,97
940,-0.52295,0.23999,-0.83935,1,32,163,97
960,-0.6359899999999999,0.13355,-0.73242,1,32,163,97
980,-0.45166,-0.086914,-0.87231,1,32,163,97
1000,-0.51221,-0.12109,-0.81421,1,32,163,97
1020,-0.51685,-0.11304,-0.83594,1,32,163,97
1040,-0.47681,-0.0976559999999999,-0.86035,1,32,163,97
1060,-0.52515,-0.1140099999999999,-0.8337399999999999,1,32,163,97
1080,-0.45557,-0.23023,-0.83911,1,32,163,97
1100,-0.65723,0.34155,-0.68066,1,32,163,97
1120,-0.4458,-0.087158,-0.87549,1,32,163,97
1140,-0.61523,0.39331,-0.67188,1,32,163,97
1160,-0.6272,0.32446,-0.65112,1,32,163,97
1180,-0.53198,-0.0976559999999999,-0.8222700000000001,1,32,163,97
1200,-0.70605,0.039062,-0.6984899999999999,1,32,163,97
1220,-0.50635,-0.11572,-0.8322700000000001,1,32,163,97
1240,-0.52417,-0.080811,-0.8183600000000001,1,32,163,97
1260,-0.48438,0.51221,-0.66089,1,32,163,97
1280,-0.7048300000000001,0.10083,-0.62231,1,32,163,97
1300,-0.68213,-0.011963,-0.72388,1,32,163,97
1320,-0.4458,-0.2241199999999999,-0.8452200000000001,1,32,163,97
1340,-0.59863,0.37476,-0.64917,1,32,163,97
1360,-0.66162,-0.0622559999999999,-0.74902,1,32,163,97
1380,-0.44873,-0.22388,-0.84473,1,32,163,97
1400,-0.5227,-0.1093799999999999,-0.81958,1,32,163,97
1420,-0.5683600000000001,0.09375,-0.72534,1,32,163,97
1440,-0.62036,0.37622,-0.63281,1,32,163,97
1460,-0.51172,-0.0976559999999999,-0.83057,1,32,163,97
1480,-0.48315,0.42188,-0.73511,1,32,163,97
1500,-0.48584,0.24756,-0.81006,1,32,163,97
1520,-0.51782,-0.10864,-0.81738,1,32,163,97
1540,-0.8269,0.003418,-0.54077,1,32,163,97
1560,-0.79175,0.10962,-0.52148,1,32,163,97
1580,-0.45898,-0.22559,-0.84473,1,32,163,97
1600,-0.7028800000000001,0.16455,-0.6420899999999999,1,32,163,97
1620,-0.4418899999999999,-0.2265599999999999,-0.84741,1,32,163,97
1640,-0.44922,-0.077637,-0.86719,1,32,163,97
1660,-0.45483,-0.22315,-0.84424,1,32,163,97
1680,-0.45166,-0.079346,-0.8757299999999999,1,32,163,97
1700,-0.58423,0.27222,-0.7338899999999999,1,32,163,97
1720,-0.67871,0.37427,-0.56323,1,32,163,97
1740,-0.44605,-0.071045,-0.8613299999999999,1,32,163,97
1760,-1.0308,0.08667,-0.14502,1,32,163,97
1780,-0.44482,-0.077637,-0.86426,1,32,163,97
1800,-0.5957,0.4978,-0.59082,1,32,163,97
1820,-0.45215,-0.078613,-0.8715799999999999,1,32,163,97
1840,-0.5769,0.15967,-0.7709999999999999,1,32,163,97
1860,-0.55908,0.46973,-0.6408699999999999,1,32,163,97
1880,-0.4523899999999999,-0.2273,-0.8535200000000001,1,32,163,97
1900,-0.5158699999999999,-0.1120599999999999,-0.82544,1,32,163,97
1920,-0.4479999999999999,-0.082275,-0.87402,1,32,163,97
1940,-0.45825,-0.18188,-0.85254,1,32,163,97
1960,-0.56592,0.0979,-0.80835,1,32,163,97
1980,-0.4816899999999999,-0.104,-0.84473,1,32,163,97
2000,-0.81152,0.033691,-0.52344,1,32,163,97
2020,-0.52759,-0.081299,-0.8242200000000001,1,32,163,97
2040,-0.53833,-0.084229,-0.8125,1,32,163,97
2060,-0.49341,-0.12646,-0.8356899999999999,1,32,163,97
2080,-0.5603,0.47095,-0.65454,1,32,163,97
2100,-0.45337,-0.19019,-0.8491200000000001,1,32,163,97
2120,-0.8945299999999999,0.017822,-0.49316,1,32,163,97
2140,-0.5112300000000001,-0.11035,-0.82739,1,32,163,97
2160,-0.44385,-0.0852049999999999,-0.875,1,32,163,97
2180,-0.53076,-0.088379,-0.82178,1,32,163,97
2200,-0.26196,0.35376,-0.71509,1,32,163,97
2220,-0.6084,0.1057099999999999,-0.72485,1,32,163,97
2240,-0.53149,-0.091309,-0.8222700000000001,1,32,163,97
2260,-0.45313,-0.22266,-0.85645,1,32,163,97
2280,-0.51221,-0.1023,-0.81567,1,32,163,97
2300,-0.59912,0.45996,-0.61621,1,32,163,97
2320,-0.61645,0.37085,-0.62231,1,32,163,97
2340,-0.4523899999999999,-0.0820309999999999,-0.87915,1,32,163,97
2360,-0.47485,-0.096924,-0.8584,1,32,163,97
2380,-0.45752,-0.1831,-0.8557100000000001,1,32,163,97
2400,-0.4541,-0.082275,-0.87476,1,32,163,97
2420,-0.52954,-0.1084,-0.8313,1,32,163,97
2440,-0.4511699999999999,-0.17822,-0.8554700000000001,1,32,163,97
2460,-0.51685,-0.099854,-0.82153,1,32,163,97
2480,-0.6601600000000001,0.24878,-0.7085,1,32,163,97
2500,-0.45776,-0.076904,-0.87036,1,32,163,97
2520,-0.52563,-0.087646,-0.82031,1,32,163,97
2540,-0.61328,0.32739,-0.66382,1,32,163,97
2560,-0.47607,-0.10181,-0.84326,1,32,163,97
2580,-0.5422399999999999,0.008545,-0.82886,1,32,163,97
2600,-0.45337,-0.18213,-0.85449,1,32,163,97
2620,-0.7673300000000001,0.031494,-0.6137699999999999,1,32,163,97
2640,-0.53296,-0.12622,-0.823,1,32,163,97
2660,-0.52881,-0.09668,-0.81543,1,32,163,97
2680,-0.65649,-0.007812,-0.72705,1,32,163,97
2700,-0.49194,-0.104,-0.8693799999999999,1,32,163,97
2720,-0.52246,-0.091553,-0.8269,1,32,163,97
2740,-0.53003,-0.104,-0.8615700000000001,1,32,163,97
2760,-0.4484899999999999,-0.18652,-0.86719,1,32,163,97
2780,-0.44311,-0.22583,-0.8571799999999999,1,32,163,97
2800,-0.51294,-0.091797,-0.8291,1,32,163,97
2820,-0.60596,0.37988,-0.65332,1,32,163,97
2840,-0.5271,0.50024,-0.6582,1,32,163,97
2860,-0.45776,-0.1789599999999999,-0.84985,1,32,163,97
2880,-0.45264,-0.081055,-0.8737799999999999,1,32,163,97
2900,-0.45605,-0.1831,-0.86035,1,32,163,97
2920,-0.46118,-0.18237,-0.84424,1,32,163,97
2940,-0.45679,-0.23023,-0.8554700000000001,1,32,163,97
2960,-0.53076,-0.083008,-0.81567,1,32,163,97
2980,-0.52808,-0.088135,-0.81226,1,32,163,97
3000,-0.65942,0.0856929999999999,-0.68701,1,32,163,97
3020,-0.5766600000000001,0.12891,-0.7287600000000001,1,32,163,97
3040,-0.4541,-0.22485,-0.84424,1,32,163,97
3060,-0.47681,-0.093994,-0.8562,1,32,163,97
3080,-0.5752,0.015869,-0.8654799999999999,1,32,163,97
3100,-0.53565,-0.088867,-0.82275,1,32,163,97
3120,-0.4658199999999999,-0.071289,-0.85596,1,32,163,97
3140,-0.49072,0.20703,-0.8728,1,32,163,97
3160,-0.45752,-0.22559,-0.85303,1,32,163,97
3180,-0.52832,-0.079834,-0.8388700000000001,1,32,163,97
3200,-0.43872,-0.22607,-0.8523,1,32,163,97
3220,-0.53174,-0.12354,-0.8183600000000001,1,32,163,97
3240,-0.45435,-0.082764,-0.86377,1,32,163,97
3260,-0.5161100000000001,-0.11523,-0.81445,1,32,163,97
3280,-0.53149,-0.0910639999999999,-0.82373,2,51,181,80
3300,-0.47217,-0.095459,-0.8652299999999999,2,51,181,80
3320,-0.55078,0.017578,-0.8015100000000001,2,51,181,80
3340,-0.50879,-0.11304,-0.83447,2,51,181,80
3360,-0.5351600000000001,-0.092285,-0.8222700000000001,2,51,181,80
3380,-0.45288,-0.080078,-0.87134,2,51,181,80
3400,-0.54883,0.0832519999999999,-0.80518,2,51,181,80
3420,-0.4597199999999999,-0.2243699999999999,-0.85303,2,51,181,80
3440,-0.45825,-0.077637,-0.8728,2,51,181,80
3460,-0.66797,0.1294,-0.68848,2,51,181,80
3480,-0.75488,0.037842,-0.5764199999999999,2,51,181,80
3500,-0.44702,-0.071045,-0.8652299999999999,2,51,181,80
3520,-0.45386,-0.0773929999999999,-0.86108,2,51,181,80
3540,-0.65942,0.10742,-0.71216,2,51,181,80
3560,-0.5354,0.011719,-0.81738,2,51,181,80
3580,-0.45508,-0.078125,-0.8784200000000001,2,51,181,80
3600,-0.63648,0.094727,-0.70605,2,51,181,80
3620,-0.53003,-0.0852049999999999,-0.8259299999999999,2,51,181,80
3640,-0.51685,-0.084961,-0.82129,2,51,181,80
3660,-0.45142,-0.23218,-0.8540000000000001,2,51,181,80
3680,-0.63159,0.0737299999999999,-0.75513,2,51,181,80
3700,-0.45361,-0.19214,-0.87036,2,51,181,80
3720,-0.53223,-0.12134,-0.8183600000000001,2,51,181,80
3740,-0.45679,-0.076172,-0.8667,2,51,181,80
3760,-0.52222,-0.079346,-0.8266600000000001,2,51,181,80
3780,-0.81665,0.023438,-0.51025,2,51,181,80
3800,-0.68823,-0.01123,-0.73633,2,51,181,80
3820,-0.52466,-0.10693,-0.81958,2,51,181,80
3840,-0.5734899999999999,0.10205,-0.71558,2,51,181,80
3860,-0.64673,-0.17114,-0.7346199999999999,2,51,181,80
3880,-0.53174,-0.092041,-0.8269,2,51,181,80
3900,-0.53223,-0.12134,-0.8183600000000001,2,51,181,80
3920,-0.4572699999999999,-0.22925,-0.8486299999999999,2,51,181,80
3940,-0.51953,-0.10693,-0.8261700000000001,2,51,181,80
3960,-0.61206,0.35156,-0.64722,2,51,181,80
3980,-0.53247,-0.10474,-0.8452200000000001,2,51,181,80
4000,-0.6503899999999999,0.25,-0.6853,2,51,181,80
4020,-0.47436,-0.0910639999999999,-0.8632799999999999,2,51,181,80
4040,-0.47803,-0.093994,-0.8493700000000001,2,51,181,80
4060,-0.45215,-0.079346,-0.87549,2,51,181,80
4080,-0.5776399999999999,0.036133,-0.7641600000000001,2,51,181,80
4100,-0.6079100000000001,0.09668,-0.7592800000000001,2,51,181,80
4120,-0.45068,-0.22583,-0.8493700000000001,2,51,181,80
4140,-0.54443,0.059082,-0.81714,2,51,181,80
4160,-0.6792,0.17749,-0.70093,2,51,181,80
4180,-0.5293,-0.11108,-0.80835,2,51,181,80
4200,-0.5170899999999999,-0.1084,-0.8234899999999999,2,51,181,80
4220,-0.70386,0.17114,-0.64795,2,51,181,80
4240,-0.52808,-0.084961,-0.8244600000000001,2,51,181,80
4260,-0.45605,-0.22339,-0.8523,2,51,181,80
4280,-0.45508,-0.074951,-0.87305,2,51,181,80
4300,-0.57422,0.40308,-0.6521,2,51,181,80
4320,-0.75415,0.45898,-0.3252,2,51,181,80
4340,-0.50171,0.43896,-0.7048300000000001,2,51,181,80
4360,-0.60327,0.37573,-0.64844,2,51,181,80
4380,-0.4563,-0.18677,-0.85767,2,51,181,80
4400,-0.52417,-0.10156,-0.84619,2,51,181,80
4420,-0.59692,0.4724100000000001,-0.66162,2,51,181,80
4440,-0.64282,0.092041,-0.72754,2,51,181,80
4460,-0.4502,-0.2243699999999999,-0.85278,2,51,181,80
4480,-0.5192899999999999,-0.1079099999999999,-0.82788,2,51,181,80
